domain,group,betweeness centrality_std_cor,betweeness centrality_average_cor,degree_std_cor,degree_average_cor,closeness centrality_std_cor,closeness centrality_average_cor
Etiology-2,us,0.4249583665106137,0.5195055232737651,0.4653099227951459,0.569167701352798,0.4192061799560161,0.3700987959322203
Etiquette-2,cn,0.4000000000000001,0.8,0.4000000000000001,0.8,0.4000000000000001,0.8
Etiquette-2,us,0.3999999999999999,0.8,0.3999999999999999,0.8,0.3999999999999999,0.8
Etodolac-2,cn,0.4898979485566356,0.6,0.4898979485566356,0.6,0.4898979485566356,0.6
Etoricoxib-2,cn,0.4898979485566356,0.4,0.4898979485566356,0.4,0.4898979485566356,0.4
Etoricoxib-2,us,0.0017930209601675,0.9989647988659848,0.0009590547807745,0.9994462894641524,0.0009590547807745,0.9994462894641524
Etymology-2,cn,0.4898979485566356,0.6,0.4898979485566356,0.6,0.4898979485566356,0.6
Etymology-2,us,0.1381385317168091,0.9309307341415956,0.0280075560197782,0.9859962219901108,0.0280075560197782,0.9859962219901108
Eucalyptus oil-2,cn,0.4,0.8,0.4,0.8,0.4,0.8
Eucalyptus oil-2,us,0.4898979485566356,0.6,0.4898979485566356,0.6,0.4898979485566356,0.6
Eucalyptus-2,cn,0.4522728004236463,0.5436055809099312,0.4815047058512978,0.5896020800661737,0.3986565867184644,0.4660269359101587
Eucalyptus-2,us,0.4898979485566356,0.4,0.4898979485566356,0.4,0.4898979485566355,0.4
Euclidean algorithm-2,cn,0.4898979485566356,0.6,0.4898979485566356,0.6,0.4898979485566356,0.6
Euclidean algorithm-2,us,0.4000000000000001,0.8,0.4000000000000001,0.8,0.4000000000000001,0.8
Euclidean distance-2,cn,0.4437450400705651,0.3582931906760848,0.4468059015529118,0.361395145386267,0.4791869163447946,0.3910851700180012
Euclidean distance-2,us,0.392443314845051,0.7816692096782182,0.3820550430865807,0.7624340266324519,0.3639053650045444,0.7249677174814987
Euclidean geometry-2,cn,0.4898979485566356,0.4,0.4898979485566356,0.3999999999999999,0.4898979485566356,0.4
Euclidean geometry-2,us,0.3920040804697078,0.7811502311194811,0.379148632432384,0.7563904790498878,0.3794088553763791,0.7536298025477255
Euclidean space-2,cn,0.3897288636132152,0.4751915215139844,0.4458080693409369,0.5439334611208582,0.4051806033741604,0.484886047222849
Euclidean space-2,us,0.0438620255948557,0.9223173106175436,0.0198577080331317,0.9628399228286166,0.0819271339676365,0.9118413359081112
Euclidean vector-2,cn,0.4000000000000001,0.2,0.4000000000000001,0.2,0.4000000000000001,0.2
Euclidean vector-2,us,0.4898979485566356,0.6,0.4898979485566356,0.6,0.4898979485566356,0.6
Eudaimonia-2,cn,0.4898979485566356,0.4,0.4898979485566356,0.4,0.4898979485566356,0.4
Eudaimonia-2,us,0.4330127018922193,0.25,0.4330127018922193,0.25,0.4330127018922193,0.25
Eugenics-2,cn,0.4898979485566356,0.4,0.4898979485566356,0.4,0.4898979485566356,0.4
Eugenics-2,us,0.4000000000000001,0.8,0.4000000000000001,0.8,0.4000000000000001,0.8
Eugenol-2,cn,0.3858955254465968,0.7567384276211697,0.3885459617528319,0.7752164785915919,0.385825279826307,0.7691690827692043
Eugenol-2,us,0.1674859743497412,0.7688395006755888,0.0968845190195028,0.903973547099708,0.1318266560951279,0.8472814558725513
Euler angles-2,cn,0.4898979485566356,0.4,0.4898979485566355,0.3999999999999999,0.4898979485566356,0.4
Euler angles-2,us,0.4,0.8,0.4,0.8,0.4,0.8
Euler characteristic-2,cn,0.4,0.8,0.4,0.8,0.4,0.8
Euler characteristic-2,us,0.4898979485566356,0.6,0.4898979485566355,0.6,0.4898979485566355,0.6
Euler equations-2,cn,0.3496579401601551,0.69059959023398,0.3485255681055648,0.6904543407869153,0.3317259765665946,0.6309931167120229
Euler equations-2,us,0.3859760328619393,0.7662518321103856,0.3898894737406845,0.7793113569009064,0.3930977523337011,0.7857048214659729
Euonymus-2,cn,0.3881726117014714,0.7369810093023565,0.3936145509240088,0.7851155759567929,0.3873005106975016,0.7493508492960888
Euonymus-2,us,0.4,0.8,0.4,0.8,0.4,0.8
Eupatorium-2,cn,0.1031273323375651,0.8550992753756985,0.1266825140479336,0.8395869379164831,0.168481263882144,0.7987917274733659
Eupatorium-2,us,0.4898979485566356,0.6,0.4898979485566356,0.6,0.4898979485566356,0.6
Euphemism-2,cn,0.4,0.8,0.4,0.8,0.4,0.8
Euphemism-2,us,0.4000000000000001,0.8,0.4000000000000001,0.8,0.4000000000000001,0.8
Euphorbia-2,cn,0.3766659566899458,0.7278769637115664,0.3912247912762438,0.7781836099512768,0.454056973251019,0.4618439592566924
Euphorbia-2,us,0.4898979485566356,0.6,0.4898979485566356,0.6,0.4898979485566356,0.6
Euphorbiaceae-2,cn,0.0444781238789421,0.8758548321120081,0.0420448588644686,0.9278638945556807,0.0415847768525597,0.7934442521733513
Euphorbiaceae-2,us,0.4898979485566356,0.6,0.4898979485566356,0.6,0.4898979485566356,0.6
Euphoriant-2,cn,0.4898979485566356,0.4,0.4898979485566356,0.4,0.4898979485566356,0.4
Euphoriant-2,us,0.3999999999999999,0.3,0.4700718828327287,0.3832689311782425,0.4189354547379496,0.3299384701444388
Eurocode-2,cn,0.3695407778852336,0.7130495168499705,0.3695407778852336,0.7130495168499705,0.3695407778852336,0.7130495168499705
Eurocode-2,us,0.4898979485566356,0.6,0.4898979485566356,0.6,0.4898979485566356,0.6
European community-2,cn,0.4330127018922193,0.75,0.4330127018922193,0.75,0.4330127018922193,0.75
European market-2,us,0.4898979485566356,0.6,0.4898979485566356,0.6,0.4898979485566356,0.6
European patent office-2,cn,0.4898979485566356,0.4,0.4898979485566356,0.4,0.4898979485566356,0.4
European patent office-2,us,0.4000000000000001,0.8,0.4000000000000001,0.8,0.4000000000000001,0.8
European standard-2,us,0.4,0.8,0.4,0.8,0.4,0.8
